latitude,longitude
45.018044,-92.965832
45.020012,-92.958159
44.955593,-92.967836
44.982556,-92.969134
44.950379,-92.972027
44.979748,-92.967913
44.968082,-92.975147
44.983104,-92.973611
45.001151,-92.983820
44.978766,-92.980308
45.001928,-92.981038
45.004456,-92.980978
45.018787,-92.963886
44.969779,-92.977174
44.969338,-92.950092
NaN,NaN
45.006182,-92.978134
45.001237,-92.972429
45.018791,-92.963861
45.000273,-92.973064
45.005651,-92.971874
45.019942,-92.957702
44.967808,-92.950901
44.974403,-92.951166
45.003693,-92.983309
44.955829,-92.967898
45.020537,-92.965371
45.017418,-92.957084
44.957981,-92.972195
45.019603,-92.965163
44.981811,-92.948510
44.966965,-92.951294
44.982722,-92.974379
45.003688,-92.983083
44.956411,-92.966872
44.961199,-92.982095
44.966971,-92.951456
44.982006,-92.966156
45.000770,-92.974427
44.981831,-92.972867
44.966951,-92.952634
44.976440,-92.962601
45.001480,-92.983749
44.953460,-92.975837
45.017280,-92.957471
45.020247,-92.981256
44.966481,-92.951310
44.953161,-92.949010
45.004246,-92.983728
45.014064,-92.982687
45.020012,-92.958159
44.975654,-92.961296
44.963159,-92.967848
44.959198,-92.971287
45.004304,-92.977252
44.969272,-92.964460
45.018627,-92.963836
45.006164,-92.978126
44.967278,-92.963469
44.956652,-92.983576
45.004210,-92.979629
44.968620,-92.967511
44.973839,-92.961117
44.954746,-92.968831
45.015464,-92.957213
44.973151,-92.962856
44.974057,-92.960576
44.957716,-92.972432
44.950020,-92.972608
44.969648,-92.952636
44.986830,-92.971387
45.020234,-92.980248
44.998645,-92.976070
44.996029,-92.954425
44.970373,-92.966540
44.968989,-92.952229
44.964901,-92.962946
44.955188,-92.952400
44.968958,-92.951871
45.004427,-92.983729
44.976707,-92.962420
44.986830,-92.971387
44.955186,-92.983576
44.955589,-92.976164
44.986830,-92.971387
44.977333,-92.974368
44.973603,-92.951408
44.965649,-92.951104
44.953834,-92.969324
44.966759,-92.950292
45.005130,-92.976620
44.986830,-92.971387
44.963281,-92.976345
44.965616,-92.951102
44.966409,-92.951081
44.950380,-92.970502
44.958142,-92.970920
44.953638,-92.972748
44.962270,-92.981419
44.966104,-92.951347
45.021747,-92.975844
44.973648,-92.953440
44.961306,-92.968440
44.986830,-92.971387
44.964909,-92.965596
45.023173,-92.982212
44.967955,-92.965680
44.958840,-92.970921
44.955548,-92.971835
44.982373,-92.958530
44.998768,-92.967694
44.960710,-92.967179
44.956633,-92.953359
45.018442,-92.983969
44.970524,-92.964280
45.003442,-92.962697
44.959031,-92.967849
45.003512,-92.959191
44.968903,-92.966321
44.965377,-92.966552
44.991238,-92.974050
44.967945,-92.967620
44.959194,-92.969474
44.963135,-92.979825
44.986735,-92.966151
44.986830,-92.971387
45.014949,-92.981265
45.001406,-92.969899
44.957484,-92.973399
44.969758,-92.967980
45.013125,-92.980707
45.004694,-92.963857
45.007104,-92.962215
44.986594,-92.968969
44.968213,-92.973236
44.953560,-92.965507
44.981470,-92.973828
45.019057,-92.977927
44.985162,-92.962698
44.953612,-92.965455
44.988261,-92.952175
45.022335,-92.956574
45.021474,-92.957892
45.005171,-92.962689
45.008150,-92.960626
44.980032,-92.963727
45.007781,-92.962022
44.959197,-92.967848
44.955067,-92.972947
44.984034,-92.947125
44.982441,-92.976909
45.001453,-92.966562
44.998755,-92.966446
44.970525,-92.964378
45.014915,-92.956156
44.989048,-92.974342
44.958502,-92.974604
45.004323,-92.974798
44.973466,-92.956879
44.978301,-92.971630
44.989214,-92.968972
44.956076,-92.968895
44.964995,-92.979265
45.019747,-92.982105
45.024676,-92.958301
44.971693,-92.984708
