latitude,longitude,walkscore,bikescore,transitscore
44.98010,-93.08018,57,47.0,None
44.99361,-93.06896,14,NaN,None
44.96230,-93.03153,38,47.0,None
44.97336,-93.02794,47,43.0,None
44.98735,-93.02685,71,58.0,None
44.96798,-93.02089,40,46.0,None
44.95700,-93.01732,54,58.0,None
45.01975,-92.98210,37,NaN,None
44.98165,-92.96965,3,NaN,None
44.89238,-92.93133,9,NaN,None
44.91434,-92.89271,5,NaN,None
44.93739,-93.17691,78,72.0,None
44.93272,-93.15696,63,69.0,None
44.98840,-93.15561,57,56.0,None
44.92065,-93.13993,57,69.0,None
44.95235,-93.13063,76,66.0,None
44.93093,-93.13054,61,73.0,None
44.98777,-93.11638,34,37.0,None
44.97245,-93.10584,69,52.0,None
44.91600,-93.07605,59,NaN,None
44.92417,-93.07044,28,26.0,None
45.01891,-93.06560,6,NaN,None
44.95014,-93.04911,42,65.0,None
45.01951,-93.02682,28,NaN,None
44.98186,-93.01801,33,58.0,None
44.96822,-93.01294,31,52.0,None
44.92533,-92.98985,8,NaN,None
44.98018,-92.97228,4,NaN,None
44.90088,-92.96850,11,NaN,None
45.01893,-92.96579,10,NaN,None
45.01508,-92.94905,0,NaN,None
44.91673,-92.94874,20,NaN,None
44.96028,-92.92611,6,NaN,None
44.94201,-92.92536,57,NaN,None
44.92973,-92.91065,7,NaN,None
44.89972,-92.88554,2,NaN,None
45.00751,-92.88166,17,NaN,None
44.97898,-93.19299,72,75.0,None
44.92677,-93.19181,54,78.0,None
44.93072,-93.17049,63,68.0,None
44.99034,-93.15296,67,54.0,None
44.96097,-93.15254,53,69.0,None
44.92586,-93.15195,73,65.0,None
44.96095,-93.14259,61,60.0,None
44.98937,-93.13141,20,41.0,None
44.95845,-93.12881,83,73.0,None
44.93787,-93.12588,82,73.0,None
44.95674,-93.12286,88,84.0,None
44.98375,-93.12016,34,46.0,None
44.99807,-93.09326,27,NaN,None
44.93545,-93.08777,59,51.0,None
44.92925,-93.08633,70,40.0,None
44.98183,-93.06526,74,68.0,None
44.97925,-93.05857,67,71.0,None
44.96926,-93.05777,66,61.0,None
44.98582,-93.02433,71,63.0,None
44.98042,-93.02148,37,57.0,None
44.98269,-93.01763,33,58.0,None
44.98375,-93.01440,27,58.0,None
44.95853,-93.00486,42,65.0,None
44.99168,-93.00367,28,NaN,None
44.92255,-93.00244,7,NaN,None
45.01879,-92.96389,9,NaN,None
