,Tuition,PCTPELL
556,24484.0,0.2974
557,9724.0,0.4074
558,18938.0,0.2106
559,9011.0,0.5641
560,16902.0,0.2083
561,14418.0,0.3040
562,14096.0,0.2442
563,10017.0,0.2864
564,12586.0,0.2047
565,10154.0,0.3491
566,22830.0,0.1450
567,31005.0,0.1287
568,14923.0,0.5698
569,14810.0,0.4143
570,22422.0,0.4438
571,12294.0,0.3376
572,15314.0,0.3273
573,32873.0,0.0740
574,24006.0,0.3573
575,20030.0,0.3074
576,20788.0,0.2733
577,23425.0,0.3250
578,23227.0,0.2154
579,12626.0,0.3141
580,16809.0,0.2719
581,12679.0,0.3619
582,12784.0,0.4656
583,18462.0,0.3220
584,23212.0,0.3436
585,19322.0,0.2197
586,28565.0,0.1633
587,22206.0,0.3089
588,17087.0,0.3830
589,19592.0,0.3060
590,15488.0,0.3472
591,17989.0,0.3467
592,23077.0,0.3916
593,12505.0,0.3269
594,21990.0,0.2729
595,16705.0,0.2092
596,20182.0,0.3622
597,16400.0,0.5274
598,10915.0,0.3614
599,14568.0,0.2801
600,27562.0,0.4158
601,29986.0,0.1390
602,28468.0,0.2770
603,24013.0,0.2164
604,20371.0,0.2373
605,17102.0,0.2671
606,18910.0,0.6978
607,11434.0,0.3213
608,19498.0,0.3340
609,16902.0,0.2781
610,15863.0,0.5190
611,16920.0,0.3886
612,22383.0,0.3006
613,8887.0,0.5706
614,18781.0,0.4502
615,28093.0,0.2663
616,17486.0,0.3799
617,8848.0,0.1465
618,22013.0,0.2679
619,28298.0,0.2748
620,14094.0,0.4779
621,19924.0,0.3095
622,13705.0,0.5304
623,12958.0,0.5838
624,27199.0,0.2929
625,16413.0,0.4726
626,32869.0,0.1840
627,19244.0,0.3547
628,24079.0,0.1763
629,16643.0,0.4201
630,9938.0,0.3574
631,11785.0,0.3019
632,9027.0,0.3996
633,9663.0,0.4270
634,28082.0,0.3147
635,31053.0,0.2408
636,20214.0,0.3755
637,25680.0,0.1823
638,19376.0,0.3142
639,29243.0,0.2686
640,22687.0,0.1228
641,21031.0,0.2194
642,17198.0,0.3877
643,29711.0,0.1547
644,7014.0,0.4540
645,6451.0,0.4981
646,6002.0,0.5296
647,7742.0,0.4243
648,5294.0,0.5515
649,5465.0,0.5322
650,6678.0,0.3976
651,5742.0,0.5002
652,18548.0,0.3434
653,18656.0,0.4390
654,34042.0,0.1995
655,21253.0,0.4430
656,27862.0,0.2808
657,35796.0,0.0000
658,34849.0,0.3138
659,23374.0,0.3068
660,24302.0,0.5869
661,27928.0,0.1856
662,28114.0,0.2918
663,34538.0,0.2578
664,16235.0,0.5569
665,27427.0,0.3097
666,25270.0,0.3472
667,18425.0,0.4673
668,33957.0,0.7386
669,36419.0,0.2179
670,19589.0,0.2717
671,21786.0,0.3568
672,18950.0,0.5372
673,27416.0,0.3039
674,40435.0,0.2321
675,34841.0,0.1602
676,20363.0,0.3937
677,26410.0,0.2948
678,22784.0,0.2779
679,16091.0,0.4511
680,19298.0,0.2354
681,25413.0,0.1375
682,15816.0,0.3243
683,24915.0,0.3007
684,27044.0,0.2874
685,15367.0,0.5228
686,15614.0,0.5369
687,9182.0,0.2993
688,16904.0,0.6000
689,16126.0,0.4003
690,18870.0,0.2871
691,16695.0,0.3086
692,13717.0,0.3341
693,17615.0,0.2714
694,15931.0,0.4103
695,15165.0,0.3979
696,12237.0,0.5122
697,17220.0,0.3730
698,17850.0,0.2609
699,16599.0,0.3145
700,17829.0,0.3072
701,16314.0,0.3954
702,19510.0,0.3332
703,11703.0,0.5010
704,15334.0,0.3716
705,19050.0,0.2413
706,30135.0,0.2516
708,21858.0,0.2375
709,41443.0,0.2493
710,17409.0,0.0667
711,20259.0,0.4691
712,27012.0,0.1701
713,14686.0,0.2792
714,20544.0,0.4762
715,22932.0,0.4186
716,12262.0,0.3676
717,27266.0,0.3976
718,20311.0,0.4408
719,17810.0,0.7287
720,19981.0,0.1458
721,34137.0,0.1363
722,15450.0,0.3430
723,2346.0,0.7108
724,35454.0,0.0834
725,4927.0,0.5973
726,20268.0,0.2347
727,22137.0,0.4312
728,37219.0,0.1093
729,14963.0,0.6510
730,19918.0,0.7033
731,20078.0,0.4259
732,16495.0,0.8463
733,16789.0,0.6079
734,23450.0,0.3185
735,23009.0,0.4111
736,13704.0,0.4286
737,12975.0,0.5044
738,9517.0,0.6109
739,14623.0,0.3446
740,13744.0,0.2186
741,11571.0,0.4052
742,11102.0,0.4474
743,10743.0,0.6569
744,14454.0,0.3044
745,14988.0,0.2181
746,13540.0,0.6068
747,15909.0,0.2899
748,29711.0,0.6249
749,11458.0,0.5465
750,18366.0,0.4593
751,14514.0,0.5263
752,25288.0,0.3195
753,15888.0,0.6378
754,26225.0,0.8435
755,16350.0,0.5761
756,22416.0,0.4122
